,album,artist_ratio,artists,id,name,popularity,preview_url,title_ratio,uri
1498,Queen,100.0,Nicki Minaj,3LHYmz86DxGInsRp3wiiW5,Ganja Burn,54.0,,95.0,spotify:track:3LHYmz86DxGInsRp3wiiW5
1499,Invasion of Privacy,100.0,Cardi B,2Yl4OmDby9iitgNWZPwxkd,Be Careful,70.0,https://p.scdn.co/mp3-preview/befe3cd3011f62ef8520f40e197c59bff4b67c12?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2Yl4OmDby9iitgNWZPwxkd
1500,ASTROWORLD,100.0,Travis Scott,1xYpVRspgaLxdJLOTQkTjg,STOP TRYING TO BE GOD,73.0,https://p.scdn.co/mp3-preview/0e6f40ee6843e26214fba4c6e13e4011ec2179f0?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1xYpVRspgaLxdJLOTQkTjg
1501,ASTROWORLD,100.0,Travis Scott,27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,80.0,https://p.scdn.co/mp3-preview/5cf7091a2bbb9811838dcba614b8dd4b57a17447?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:27a1mYSG5tYg7dmEjWBcmL
1502,ASTROWORLD,100.0,Travis Scott,4SZepBIPDRwPaHIjAKwRDb,R.I.P. SCREW,72.0,https://p.scdn.co/mp3-preview/2ccb194c57ded018b504701bac87689291c213b1?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:4SZepBIPDRwPaHIjAKwRDb
1503,ASTROWORLD,100.0,Travis Scott,6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,76.0,https://p.scdn.co/mp3-preview/858540a3a175a219743ff3903c9caf0374525166?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6OaVWaGfhXn70ZJfdVcabn
1504,ASTROWORLD,100.0,Travis Scott,7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,71.0,https://p.scdn.co/mp3-preview/69dfdc414369c7102e805c5590eedea182d29116?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7KZ5MMVgBVox9ycroB2UrI
1505,ASTROWORLD,100.0,Travis Scott,11kDth1aKUEUMq9r1pqyds,5% TINT,72.0,https://p.scdn.co/mp3-preview/ad1658a248876de250e67e1bd2b8be802043b06a?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:11kDth1aKUEUMq9r1pqyds
1506,Know.,100.0,Jason Mraz,7BXW1QCg56yzEBV8pW8pah,Have It All,66.0,https://p.scdn.co/mp3-preview/af6a3e7fa8bf66090c837b3566a298fac3bb1b1e?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7BXW1QCg56yzEBV8pW8pah
1507,Nevermind,100.0,Dennis Lloyd,63SevszngYpZOwf63o61K4,Nevermind,79.0,https://p.scdn.co/mp3-preview/3ed2e2ed433fdc05df0a4f30607bd4b0760658df?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:63SevszngYpZOwf63o61K4
1508,Nevermind (Alright),100.0,Dennis Lloyd,1rwRQ8EfWU8XkXlWz0uH1F,Nevermind (Alright),51.0,https://p.scdn.co/mp3-preview/5ef41b57d376cd3d5959df481fe7e2da2b6a3652?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:1rwRQ8EfWU8XkXlWz0uH1F
