,album,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,id,name,popularity,preview_url,title_levenshtein,uri
2251,Late Nights: The Album,94.0,"Jeremih, J. Cole",PlanezJeremih Featuring J. Cole,24451.0,Jeremih Featuring J. Cole,2015-10-24,0.0,51.0,44.0,49.0,Planez,20.0,08zJpaUQVi9FrKv2e32Bah,Planez,71.0,,100.0,spotify:track:08zJpaUQVi9FrKv2e32Bah
2252,Buy Me a Boat,100.0,Chris Janson,Buy Me A BoatChris Janson,24477.0,Chris Janson,2015-10-24,0.0,73.0,41.0,75.0,Buy Me A Boat,20.0,2WKLUgklz0VDX5bKTZ3eYD,Buy Me a Boat,68.0,https://p.scdn.co/mp3-preview/3f94600cbf85fc27e387a8945f49e731d7417abf?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2WKLUgklz0VDX5bKTZ3eYD
2253,What A Time To Be Alive,89.0,"Drake, Future",Plastic BagDrake & Future,24489.0,Drake & Future,2015-10-24,0.0,78.0,78.0,87.0,Plastic Bag,2.0,76kyKtPLsFbQkdQ86QrkF4,Plastic Bag,56.0,,100.0,spotify:track:76kyKtPLsFbQkdQ86QrkF4
2254,What A Time To Be Alive,100.0,Future,JerseyFuture,24493.0,Future,2015-10-24,0.0,87.0,87.0,91.0,Jersey,2.0,2ACys0pX0SjmpQmQWzp7wt,Jersey,59.0,,100.0,spotify:track:2ACys0pX0SjmpQmQWzp7wt
2255,Andrew McMahon In The Wilderness,100.0,Andrew McMahon in the Wilderness,Cecilia And The SatelliteAndrew McMahon In The Wilderness,24498.0,Andrew McMahon In The Wilderness,2015-10-24,0.0,0.0,96.0,96.0,Cecilia And The Satellite,3.0,1MSM3Fo2fvnwVqMcz8Jhjq,Cecilia And The Satellite,60.0,,100.0,spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq
2256,The Original High (Deluxe Version),100.0,Adam Lambert,Ghost TownAdam Lambert,24499.0,Adam Lambert,2015-10-24,0.0,91.0,64.0,97.0,Ghost Town,17.0,44aN5xKL3kGHvQ5bXVk6B8,Ghost Town,65.0,https://p.scdn.co/mp3-preview/2941c6a5545aa61a49130cf4bf54d9ed67de4bbb?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:44aN5xKL3kGHvQ5bXVk6B8
2257,When the Morning Comes,97.0,"A Great Big World, Futuristic",Hold Each OtherA Great Big World Featuring FUTURISTIC,24502.0,A Great Big World Featuring FUTURISTIC,2015-10-24,0.0,0.0,99.0,100.0,Hold Each Other,2.0,1qHiDbTJI7GB62W3BBFigx,Hold Each Other (feat. Futuristic),50.0,https://p.scdn.co/mp3-preview/0ab23d9ca0dcbc0d85b98831f0f17f987d6e5fdd?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,97.0,spotify:track:1qHiDbTJI7GB62W3BBFigx
2258,Made In The A.M. (Deluxe Edition),100.0,One Direction,InfinityOne Direction,24587.0,One Direction,2015-10-17,0.0,54.0,54.0,85.0,Infinity,2.0,6N5xh0tYYLTQRiCCaNbAUt,Infinity,69.0,https://p.scdn.co/mp3-preview/e9744cefc3e5b864d16006ae7a446508cad60050?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6N5xh0tYYLTQRiCCaNbAUt
2259,Get Weird (Deluxe),100.0,Little Mix,Black MagicLittle Mix,24591.0,Little Mix,2015-10-17,0.0,78.0,67.0,89.0,Black Magic,8.0,5y6pj7OeBFF0CVgZKhRbOG,Black Magic,76.0,https://p.scdn.co/mp3-preview/bc65c8e3bd4e9b7576812b3e5691aaf896875cd1?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5y6pj7OeBFF0CVgZKhRbOG
2260,What A Time To Be Alive,100.0,Drake,30 For 30 FreestyleDrake,24594.0,Drake,2015-10-17,0.0,88.0,88.0,92.0,30 For 30 Freestyle,2.0,1DmnEYXa4WfbdhAPwNzgD8,30 for 30 Freestyle,53.0,,100.0,spotify:track:1DmnEYXa4WfbdhAPwNzgD8
